Apto	Andar	PisoT	PisoS	BanhT	BanhS	Cofre	Cortina	CortinaS	CortinaM	CortinaC	Espelho	EspelhoS	AC	MoveisS	MoveisD	Camas	PortaCont	Cabide	CabideQ	SuportPap	SuportSham	SuportShamS	LuminType	LuminColor	TV	Avarias
200	200	Granito	Bom estado	Reformado	Tolerável	Sim	Sim	Nova	212x180	Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Não	Não		Quadrado	Branco	Smart Roku	Jejeb
201	200	Granito		Reformado		Não	Sim	Nova		Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Rosa"", ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Sim	Não		Quadrado	Branco	Philco	
202	200	Granito	Bom estado	Reformado	Reparo urgente	Sim	Sim	Nova		Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	2	Sim	Não		Quadrado	Branco	Toshiba	
203	200	Granito	Bom estado	Reformado		Sim	Sim	Nova	Medida correta 2,10	Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Sim	Não		Quadrado	Branco	Toshiba	
204	200	Madeira	Tolerável			Sim	Não				Não			Danificado	"[""Guarda Roupa""]"	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}]"	Não	Sim	10	Não	Não					
205	200	Granito	Bom estado	Reformado		Sim	Não				Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	4	Sim	Não		Quadrado	Branco	Toshiba	
206	200	Granito		Reformado		Sim	Sim	Nova		Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Sim	Não		Arandela		Philco	
207	200	Granito	Bom estado	Reformado		Sim	Sim	Nova	212x180	Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	4	Não	Não		Quadrado	Branco	Smart Roku	
208	200	Granito		Reformado		Sim	Sim	Nova		Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Cinza"", ""baseStatus"": ""Nova"", ""mattressColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Sim	Não		Arandela		Philco	
209	200	Granito		Reformado		Sim	Sim	Nova		Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	4	Sim	Não		Arandela		Philco	
210	200	Granito		Reformado		Sim	Sim	Nova		Um lado	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}, {""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Rosa"", ""baseStatus"": ""Nova"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	4	Sim	Não		Arandela		Philco	
