id,hotel_name,data
VILLAGE_200,VILLAGE,"{""id"":""200"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""Midea"",""defects"":[{""id"":""200-200-1770174493693"",""fileName"":""1770174484631902255240653918232.jpg"",""fileType"":""image/jpeg"",""driveLink"":""pendente"",""timestamp"":1770174493694,""description"":""Jejeb""}],""tvBrand"":""Smart Roku"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":""Bom estado"",""roomNumber"":200,""temCortina"":true,""cortinaSize"":""212x180"",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":""Tolerável"",""cabideQuantity"":3,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":false,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_201,VILLAGE,"{""id"":""201"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Rosa"",""baseStatus"":""Nova"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":false,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":201,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_202,VILLAGE,"{""id"":""202"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseStatus"":""Nova"",""skirtColor"":""Cinza"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""skirtColor"":""Cinza"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Toshiba"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":""Bom estado"",""roomNumber"":202,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":""Reparo urgente"",""cabideQuantity"":2,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_203,VILLAGE,"{""id"":""203"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Cinza"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""skirtColor"":""Cinza"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""Midea"",""defects"":[],""tvBrand"":""Toshiba"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":""Bom estado"",""roomNumber"":203,""temCortina"":true,""cortinaSize"":""Medida correta 2,10"",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""customAnswers"":""{}"",""luminariaType"":""Quadrado"",""cabideQuantity"":3,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_204,VILLAGE,"{""id"":""204"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":"""",""defects"":[],""tvBrand"":"""",""pisoType"":""Madeira"",""temCofre"":true,""temCabide"":true,""pisoStatus"":""Tolerável"",""roomNumber"":204,""temCortina"":false,""cortinaSize"":"""",""banheiroType"":"""",""moveisStatus"":""Danificado"",""cortinaStatus"":"""",""luminariaType"":"""",""banheiroStatus"":"""",""cabideQuantity"":10,""luminariaColor"":"""",""moveisDetalhes"":[""Guarda Roupa""],""cortinaCoverage"":"""",""temEspelhoCorpo"":false,""temSuportePapel"":false,""temPortaControle"":false,""temSuporteShampoo"":false,""espelhoCorpoStatus"":"""",""suporteShampooStatus"":""""}"
VILLAGE_205,VILLAGE,"{""id"":""205"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":true,""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Toshiba"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":""Bom estado"",""roomNumber"":205,""temCortina"":false,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":"""",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":4,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":"""",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_206,VILLAGE,"{""id"":""206"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":206,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Arandela"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":"""",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_207,VILLAGE,"{""id"":""207"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Smart Roku"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":""Bom estado"",""roomNumber"":207,""temCortina"":true,""cortinaSize"":""212x180"",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":4,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":false,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_208,VILLAGE,"{""id"":""208"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Cinza"",""baseStatus"":""Nova"",""mattressColor"":""Cinza"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":208,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Arandela"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":"""",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_209,VILLAGE,"{""id"":""209"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":209,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Arandela"",""banheiroStatus"":"""",""cabideQuantity"":4,""luminariaColor"":"""",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
